113	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.981487 0.190546 0.016294 -0.000907
112	-0.106600 0.046400 -0.060400 -0.186801 -0.982403 -0.003300 0.012700 -0.005700 0.999903 -0.981487 0.190546 0.016294 -0.002896
111	-0.106600 0.046400 -0.060400 -0.012700 0.005700 -0.999903 -0.186801 -0.982403 -0.003300 -0.981487 0.190546 0.016294 0.991350
122	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965449 0.260363 -0.005710 -0.003068
123	-0.102000 0.063100 -0.025600 -0.282001 -0.959402 -0.004900 -0.013600 -0.001100 0.999902 -0.965449 0.260363 -0.005710 -0.003992
121	-0.102000 0.063100 -0.025600 0.013600 0.001100 -0.999902 -0.282001 -0.959402 -0.004900 -0.965449 0.260363 -0.005710 0.992293
132	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.996278 0.085757 -0.005408 0.000169
133	-0.108500 0.030200 -0.026600 -0.095196 -0.995456 -0.002500 -0.002600 -0.002300 0.999955 -0.996278 0.085757 -0.005408 -0.002814
131	-0.108500 0.030200 -0.026600 0.002600 0.002300 -0.999955 -0.095196 -0.995456 -0.002500 -0.996278 0.085757 -0.005408 1.002835
143	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.999084 0.029223 0.030322 -0.002221
142	-0.109900 0.013100 -0.062700 -0.021200 -0.999823 -0.001600 0.012300 -0.001800 0.999923 -0.999084 0.029223 0.030322 -0.007599
141	-0.109900 0.013100 -0.062700 -0.012300 0.001800 -0.999923 -0.021200 -0.999823 -0.001600 -0.999084 0.029223 0.030322 0.997890
213	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.993088 0.101956 0.057981 -0.001874
212	-0.107400 0.032900 0.008000 -0.101496 -0.994759 -0.002500 0.051198 -0.007700 0.998659 -0.993088 0.101956 0.057981 -0.004324
211	-0.107400 0.032900 0.008000 -0.051198 0.007700 -0.998659 -0.101496 -0.994759 -0.002500 -0.993088 0.101956 0.057981 0.996707
222	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925256 0.151446 0.347723 -0.001756
223	-0.098900 0.040300 0.041300 -0.161803 -0.986816 -0.003700 0.343206 -0.059801 0.937415 -0.925256 0.151446 0.347723 -0.002270
221	-0.098900 0.040300 0.041300 -0.343206 0.059801 -0.937415 -0.161803 -0.986816 -0.003700 -0.925256 0.151446 0.347723 1.007554
232	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.938019 -0.043367 0.343823 -0.001466
233	-0.101100 0.004400 0.040800 0.037800 -0.999009 -0.023500 0.352103 -0.008700 0.935908 -0.938019 -0.043367 0.343823 -0.004458
231	-0.101100 0.004400 0.040800 -0.352103 0.008700 -0.935908 0.037800 -0.999009 -0.023500 -0.938019 -0.043367 0.343823 1.002433
243	-0.108300 -0.001100 0.007100 -0.067199 -0.010400 -0.997685 0.084999 -0.996386 0.004700 -0.994188 -0.079462 0.072326 -0.001929
242	-0.108300 -0.001100 0.007100 0.084999 -0.996386 0.004700 0.067199 0.010400 0.997685 -0.994188 -0.079462 0.072326 -0.004217
241	-0.108300 -0.001100 0.007100 -0.067199 -0.010400 -0.997685 0.084999 -0.996386 0.004700 -0.994188 -0.079462 0.072326 1.008796
313	-0.086100 0.098800 0.009000 -0.035199 0.118196 -0.992366 -0.483584 -0.870970 -0.086597 -0.875598 0.474691 0.089336 -0.002411
312	-0.086100 0.098800 0.009000 -0.483584 -0.870970 -0.086597 0.035199 -0.118196 0.992366 -0.875598 0.474691 0.089336 -0.002386
311	-0.086100 0.098800 0.009000 -0.035199 0.118196 -0.992366 -0.483584 -0.870970 -0.086597 -0.875598 0.474691 0.089336 0.998068
322	-0.088700 0.075700 0.041200 -0.351594 0.118898 -0.928584 -0.370994 -0.928384 0.021600 -0.862396 0.350296 0.365422 -0.002824
323	-0.088700 0.075700 0.041200 -0.370994 -0.928384 0.021600 0.351594 -0.118898 0.928584 -0.862396 0.350296 0.365422 -0.001560
321	-0.088700 0.075700 0.041200 -0.351594 0.118898 -0.928584 -0.370994 -0.928384 0.021600 -0.862396 0.350296 0.365422 1.003627
